city,long,lat
Lake Roesiger,47.98,-121.91
Lake Shore,45.69,-122.69
Lake Stevens city,48,-122.1
Lake Stickney,47.87,-122.26
Lake Tapps,47.23,-122.17
Lakeland North,47.34,-122.28
Lakeland South,47.28,-122.28
Lakeview,47.38,-119.5
Lakewood city,47.16,-122.53
Lamont town,47.2,-117.91
Langley city,48.03,-122.41
Larch Way,47.84,-122.25
Latah town,47.28,-117.16
Laurier,49,-118.22
Leavenworth city,47.59,-120.66
Lebam,46.56,-123.55
Lewisville,45.81,-122.52
Liberty Lake city,47.67,-117.1
Lind town,46.97,-118.61
Lochsloy,48.06,-122.04
Lofall,47.81,-122.66
Long Beach city,46.36,-124.06
Longbranch,47.23,-122.77
Longview city,46.15,-122.96
Longview Heights,46.18,-122.96
Loomis,48.82,-119.64
Loon Lake,48.07,-117.63
Lower Elochoman,46.22,-123.37
Lyle,45.7,-121.28
Lyman town,48.52,-122.06
Lynden city,48.95,-122.45
Lynnwood city,47.83,-122.3
Mabton city,46.21,-119.99
Machias,47.99,-122.05
Malden town,47.23,-117.47
Malo,48.8,-118.61
Malone,46.98,-123.3
Malott,48.29,-119.7
Maltby,47.8,-122.1
Manchester,47.55,-122.54
Mansfield town,47.81,-119.64
Manson,47.89,-120.16
Maple Falls,48.91,-122.1
Maple Heights-Lake Desire,47.44,-122.1
Maple Valley city,47.37,-122.04
Maplewood,47.37,-122.57
Marblemount,48.54,-121.43
Marcus town,48.66,-118.06
Marietta-Alderwood,48.79,-122.55
Markham,46.92,-123.98
Marrowstone,48.06,-122.69
Martha Lake,47.85,-122.23
Maryhill,45.69,-120.81
Marysville city,48.08,-122.16
Mattawa town,46.74,-119.9
May Creek,47.86,-121.67
McChord AFB,47.13,-122.49
McCleary city,47.06,-123.27
McKenna,46.94,-122.55
McMillin,47.13,-122.24
Mead,47.78,-117.35
Meadow Glade,45.75,-122.56
Meadowdale,47.86,-122.32
Medical Lake city,47.57,-117.69
Medina city,47.63,-122.24
Mercer Island city,47.57,-122.23
Mesa city,46.57,-119
Metaline Falls town,48.86,-117.37
Metaline town,48.85,-117.39
Methow,48.13,-120.01
Midland,47.17,-122.41
Mill Creek city,47.86,-122.2
Mill Creek East,47.84,-122.19
Millwood town,47.69,-117.28
Milton city,47.25,-122.31
Mineral,46.72,-122.19
Minnehaha,45.66,-122.62
Mirrormont,47.46,-121.99
Moclips,47.23,-124.2
Monroe city,47.86,-121.99
Monroe North,47.88,-121.99
Montesano city,47.01,-123.59
Morton city,46.56,-122.28
Moses Lake city,47.12,-119.27
Moses Lake North,47.19,-119.32
Mossyrock city,46.53,-122.49
Mount Vernon city,48.42,-122.31
Mount Vista,45.74,-122.63
Mountlake Terrace city,47.79,-122.31
Moxee city,46.56,-120.39
Mukilteo city,47.92,-122.31
Naches town,46.73,-120.69
Napavine city,46.59,-122.9
Naselle,46.37,-123.8
Navy Yard City,47.55,-122.67
Neah Bay,48.36,-124.61
Neilton,47.4,-123.88
Nespelem Community,48.17,-119.02
Nespelem town,48.17,-118.97
Newcastle city,47.53,-122.16
Newport city,48.18,-117.05
Nile,46.84,-120.95
Nisqually Indian Community,47.02,-122.67
Nooksack city,48.93,-122.32
Normandy Park city,47.43,-122.36
North Bend city,47.49,-121.77
North Bonneville city,45.64,-121.97
North Fort Lewis,47.12,-122.6
North Lynnwood,47.85,-122.28
North Marysville,48.11,-122.15
North Omak,48.44,-119.45
North Puyallup,47.2,-122.27
North Sultan,47.88,-121.83
